供应商ID,品类,安全指数_I,排名,因子得分_F1,因子得分_F2
S317,A,1.0,1,1.3109547995526871,0.9628647797784813
S181,A,0.9947637955939126,2,1.0194902031932183,1.341556896853955
S185,A,0.990532912589271,3,1.2744967618880358,0.9241119945308931
S278,A,0.9881045239047619,4,1.210180435871975,0.9952359237077024
S093,A,0.9851755702699624,5,0.898326450360001,1.4265483101060785
S156,A,0.9776875172895105,6,1.132369685291158,1.0081884600911246
S251,A,0.9752142137555762,7,1.0298575395570924,1.1352064769573649
S289,A,0.9746299738298844,8,1.0059545913950103,1.1647498631562796
S198,A,0.9712716113335897,9,1.019469335952266,1.1119960245747054
S062,A,0.9615454861044659,10,0.5316097174954313,1.7364605547448193
S051,A,0.957295918699126,11,0.9228118407442507,1.1179652310325154
S373,A,0.9556120256236367,12,0.9072613032538975,1.1244430486005461
S394,A,0.9536447520318453,13,0.8678265050127737,1.163377022696579
S071,A,0.9533083275366391,14,0.851789993195905,1.1837405343833503
S012,A,0.9525887485925361,15,0.8575868243534233,1.1681585643966035
S043,A,0.9512961183336167,16,0.8668913513773152,1.1418027823606813
S127,A,0.9508818962574551,17,0.8375755179861348,1.1809909566924441
S283,A,0.94641706647209,18,0.7730671994868901,1.2324956873588728
S015,A,0.9455747122856185,19,0.629878381190993,1.4354450752634385
S101,A,0.9441715669691589,20,0.8998708857789198,1.0235339590728327
S022,A,0.9438306341741965,21,0.6010350403998757,1.4609395682802064
S372,A,0.9430407051639296,22,0.8512795120894532,1.0841468367609994
S302,A,0.939512482443378,23,0.7915385608904311,1.1377739849467496
S205,A,0.9385422764337822,24,0.7828047038445155,1.1411731725567569
S083,A,0.9351797217075172,25,0.5585962101528297,1.4389841113576334
S204,A,0.9350269199636978,26,0.8015479029686362,1.0791738368589812
S250,A,0.9343659663641282,27,0.4281041385322821,1.6234872217346956
S144,A,0.9343591680722947,28,0.7728148069051255,1.1150247877438688
S293,A,0.9322042726598699,29,0.6306660164796251,1.303612685319171
S370,A,0.9316397081131912,30,0.7659269510502935,1.0986057560175995
S148,A,0.9314673506013142,31,0.7307692987918307,1.1487734962774108
S072,A,0.9271818201048204,32,0.6420565192673288,1.237728449943457
S184,A,0.9252750629295369,33,0.8765466459228696,0.8732561077083997
S145,A,0.9246670571271945,34,0.7539957450716332,1.048058007153566
S396,A,0.9240549863737283,35,0.7299124676184827,1.0775953580482784
S341,A,0.9235594998518688,36,0.7170763633458132,1.0916842233150517
S350,A,0.9213130597726878,37,0.8001868657973127,0.9471541269617882
S130,A,0.9175941351964226,38,0.6896329072832355,1.0738590102342571
S119,A,0.9153571209670172,39,0.7265212915792859,0.997591652856672
S195,A,0.9150496790052768,40,0.5359567434891519,1.2756408170385367
S354,A,0.9144215600343208,41,0.6323005122524897,1.1274096850116002
S285,A,0.9138049511273342,42,0.6616859983100107,1.078044361272333
S155,A,0.9128532000009881,43,0.6083999114227098,1.1473316973902257
S219,A,0.9086268640810193,44,0.46665979290468407,1.3150724545389418
S109,A,0.9061689101870326,45,0.5763427337856792,1.1292848913579736
S158,A,0.9054453093385008,46,0.5249396965668774,1.198024751849216
S299,A,0.9021075559023337,47,0.4817086830377397,1.229163720961088
S242,A,0.900567333983538,48,0.5033044476728021,1.1822604862630446
S187,A,0.8956719990948137,49,0.4612976674608821,1.1963714853885032
S038,A,0.8931161639060992,50,0.48819577913129386,1.131722394475943
S097,A,0.892684003701521,51,0.5456625296218303,1.04274409857218
S167,A,0.8924229902958162,52,0.36763021834334725,1.3027638640493855
