供应商ID,品类,安全指数,排名
S229,A,1.0,1
S361,C,0.9161965848340817,2
S140,B,0.9055098124238783,3
S108,B,0.8454862950457401,4
S151,C,0.8004732318095263,5
S340,B,0.7895503853030982,6
S282,A,0.7858448029603404,7
S275,A,0.7666796373854233,8
S139,B,0.7607508558833305,9
S329,A,0.7546311101034424,10
S356,C,0.7442010598490773,11
S330,B,0.7420016117057407,12
S131,B,0.7395573703536534,13
S306,C,0.7253703712476763,14
S194,C,0.7202573671348307,15
S308,B,0.713143903400502,16
S348,A,0.710170163948496,17
S268,C,0.702631656893538,18
S193,B,0.6944887217557887,19
S273,A,0.6904619789974864,20
S143,A,0.686239395246381,21
S352,A,0.6804002671233186,22
S154,A,0.6715565952483262,23
S374,C,0.6493536475807905,24
S307,A,0.646620185931057,25
S284,C,0.6460879195802911,26
S247,C,0.6456304874050233,27
S365,C,0.6261610145736954,28
S031,B,0.6217063061909337,29
S294,C,0.6154804148375581,30
S338,B,0.6106229571224842,31
S364,B,0.6083501690547635,32
S055,B,0.6074299100401358,33
S244,C,0.6069055002953809,34
S367,B,0.603535232599067,35
S218,C,0.6015797097525858,36
S266,A,0.5976448428674863,37
S346,B,0.5971692932271011,38
S040,B,0.5914315324386397,39
S080,C,0.587883892283863,40
S291,A,0.5827403787698725,41
S150,A,0.5746326534077841,42
S007,A,0.5611224452031562,43
S114,A,0.5602252846452583,44
S395,A,0.5601740734881395,45
S086,C,0.5596263318929254,46
S123,A,0.5594107417061083,47
S098,B,0.5581618931901138,48
S074,C,0.547277967222295,49
S067,C,0.5413707473148042,50
S129,C,0.540109354045248,51
S003,C,0.5386100397849642,52
S037,C,0.5383411418536315,53
S271,C,0.5371422380677626,54
S076,C,0.5358014547378892,55
S213,C,0.5268109765484187,56
S256,B,0.5218586198733033,57
S126,C,0.521479321735543,58
S333,B,0.5170571297045661,59
S232,B,0.5115723805160154,60
S314,C,0.5112582795567313,61
S005,A,0.5100463551740818,62
S175,B,0.5099623919468393,63
S141,B,0.5054128565095405,64
S025,C,0.49366638048406536,65
S221,A,0.49140749468303585,66
S324,B,0.4904774752388518,67
S113,C,0.489206006111902,68
S174,B,0.48864584583638193,69
S169,B,0.4874657359561084,70
S392,B,0.4831421462447028,71
S172,B,0.4828402812253506,72
S078,A,0.48244298066730484,73
S112,B,0.48211175618845176,74
S092,B,0.4761585998514191,75
S152,A,0.47614871286711535,76
S310,B,0.4746641119273919,77
S316,B,0.47331768191326373,78
S237,A,0.472983012462576,79
S210,C,0.46732016025526923,80
S088,B,0.4651898281217754,81
S245,C,0.46294550470388807,82
S318,A,0.462244479855797,83
S075,A,0.46080113596561495,84
S146,B,0.46007904084610185,85
S046,A,0.45999856069640505,86
S216,B,0.45940909700446975,87
S270,C,0.45532592890670015,88
S362,C,0.4550760860963036,89
S180,B,0.45475177894108004,90
S023,C,0.45410745363637256,91
S342,C,0.45296656060864693,92
S073,B,0.4501742462229503,93
S263,C,0.4493721423480079,94
S201,A,0.44522096498777436,95
S149,C,0.44312522294973705,96
S016,A,0.4425672763190484,97
S178,A,0.44158818463235483,98
S353,B,0.4407557999297713,99
S351,C,0.4394048706018173,100
S235,B,0.437695738867307,101
S159,A,0.43742792671785136,102
S292,A,0.43594252689681967,103
S054,B,0.4342423754914585,104
S053,A,0.43228972752703376,105
S357,C,0.4317372507841623,106
S253,C,0.4310369743771987,107
S189,A,0.42971684227870827,108
S239,C,0.42895233646079833,109
S110,C,0.42617031407697764,110
S026,A,0.42519060859322916,111
S286,B,0.4209765945383629,112
S337,A,0.417904903781984,113
S305,C,0.41780903663115954,114
S036,B,0.41622426739583457,115
S225,B,0.4150997827890649,116
S035,A,0.414096089665579,117
S128,A,0.4126720887595643,118
S157,A,0.4121609106195519,119
S133,C,0.4113106671903606,120
S366,B,0.41094753893049285,121
S383,C,0.41014634719707294,122
S315,B,0.40952570174566916,123
S379,C,0.40920650358908683,124
S298,B,0.4084455533003682,125
S384,C,0.40748316613155633,126
S052,A,0.4060278451378835,127
S106,A,0.40451724690765056,128
S332,A,0.4025378260050608,129
S233,B,0.4023468511121227,130
S030,A,0.3970429092168337,131
S265,A,0.3917097184467324,132
S336,A,0.3912396695535145,133
S050,B,0.3909425163631951,134
S360,B,0.3906414113542373,135
S321,B,0.387871314755507,136
S188,B,0.3845037508015893,137
S002,A,0.3837133789557558,138
S124,B,0.3825903349990337,139
S186,C,0.3817418798712532,140
S081,B,0.3813511348621736,141
S049,A,0.38058666108977834,142
S386,B,0.37959823586004054,143
S064,A,0.3793955503339162,144
S313,C,0.3793876258334782,145
S230,B,0.379143818498097,146
S077,B,0.3791056402225898,147
S070,C,0.3783392129254499,148
S304,A,0.3777643328775268,149
S024,B,0.37624133123059345,150
S281,A,0.374886800073969,151
S355,C,0.37255395817116327,152
S039,C,0.37184231755393515,153
S105,B,0.3716211523900086,154
S269,A,0.3694723365706116,155
S153,B,0.3684805864221877,156
S397,B,0.36575295200141406,157
S258,B,0.36562987011094494,158
S122,A,0.36421231704469165,159
S220,C,0.36364963236165765,160
S011,C,0.3629471466056207,161
S359,C,0.36274623104428116,162
S115,A,0.36195497194821,163
S121,A,0.35529884097318254,164
S261,B,0.35515472613558446,165
S203,A,0.35510675436256683,166
S206,C,0.35480361933020066,167
S027,A,0.35353953136746613,168
S138,B,0.3520427182105485,169
S096,A,0.3513271584488444,170
S301,C,0.35128891051480715,171
S057,B,0.35085364295633303,172
S033,C,0.3500950491310653,173
S065,A,0.35006876090516975,174
S163,A,0.35003868015978534,175
S119,A,0.3500065094290601,176
S202,B,0.3488134675951726,177
S196,A,0.3465708260984891,178
S369,C,0.3461234226598665,179
S381,A,0.3457833558735387,180
S087,A,0.34442821228389486,181
S182,C,0.344285063855371,182
S014,A,0.3413585181894452,183
S312,A,0.3410161587457308,184
S171,C,0.340313108726904,185
S132,A,0.33996333113824456,186
S191,B,0.3391668890906531,187
S142,B,0.3386905429273159,188
S038,A,0.33830725221916336,189
S032,C,0.3371809037923044,190
S254,A,0.336986542816501,191
S079,B,0.3353751503223519,192
S255,A,0.33443444333478384,193
S243,A,0.33276154069808567,194
S347,C,0.3299199080414732,195
S207,C,0.32948141614120974,196
S274,A,0.3294402450476004,197
S097,A,0.32741295991760416,198
S350,A,0.3260499615386572,199
S008,C,0.3247783929075569,200
S389,B,0.32407005945964,201
S170,A,0.32329420312159884,202
S013,C,0.3230095119444041,203
S376,B,0.32288201927578275,204
S018,B,0.3221764686658074,205
S197,B,0.32127192442414726,206
S296,A,0.3202868117774537,207
S285,A,0.31883485100628556,208
S028,B,0.31860801678076967,209
S066,A,0.3185333955158781,210
S120,B,0.31839320930569437,211
S227,A,0.31793729323017056,212
S068,C,0.31768432566485355,213
S295,A,0.3155018941478135,214
S377,C,0.314539664694624,215
S259,B,0.31443108335292436,216
S165,A,0.3126485343957881,217
S224,B,0.3117001235714911,218
S349,C,0.30935847908792674,219
S288,A,0.30785466323259686,220
S398,C,0.3077427562060874,221
S104,A,0.30689326752025053,222
S249,B,0.30643019070159944,223
S082,A,0.3052231558080688,224
S118,B,0.3040027235861204,225
S177,C,0.3030600823382693,226
S160,C,0.30261151235587114,227
S217,A,0.30216526291374357,228
S102,A,0.30212085286105017,229
S117,B,0.30171718919558366,230
S099,A,0.3011957924340398,231
S204,A,0.30084708491005896,232
S004,B,0.30053413376342275,233
S135,C,0.3001595263296999,234
S228,C,0.2997870670060897,235
S090,C,0.2986960765841928,236
S344,B,0.2982824410463576,237
S060,C,0.2975879477276611,238
S130,A,0.2975677741623003,239
S089,A,0.29724443041522147,240
S116,A,0.2963872183904386,241
S222,B,0.2963291419031087,242
S272,B,0.2955903565200395,243
S144,A,0.29462314936739264,244
S042,A,0.29434134862519984,245
S240,B,0.29428715481835865,246
S226,A,0.29425057187880355,247
S248,B,0.2936359146768544,248
S335,B,0.2933176757870404,249
S187,A,0.2915104533033154,250
S056,A,0.2906662854531936,251
S017,A,0.29049658774879544,252
S200,B,0.29032220211088045,253
S209,A,0.28917451882173545,254
S085,C,0.2889639217814192,255
S125,B,0.2885791762622932,256
S211,A,0.28839761472026937,257
S300,A,0.2877817754857826,258
S387,B,0.287473974287947,259
S388,B,0.2873616309109207,260
S267,C,0.287229784405823,261
S184,A,0.286533096420735,262
S260,B,0.28621467738020534,263
S109,A,0.28588345442694185,264
S107,C,0.2847390423456598,265
S164,C,0.28396398359131825,266
S396,A,0.2825641182687661,267
S020,C,0.28235878788333374,268
S354,A,0.2792641277654586,269
S155,A,0.2787250853698031,270
S136,C,0.2782290474600413,271
S034,C,0.27557534568946834,272
S044,C,0.2727534967664628,273
S048,B,0.2722812343669209,274
S391,C,0.2717286154624084,275
S339,C,0.27163406069161766,276
S161,C,0.27161767114190016,277
S069,B,0.27079968919685377,278
S006,C,0.26979593664378215,279
S199,B,0.2672982779193647,280
S145,A,0.26643811957412394,281
S280,B,0.2643959951708462,282
S021,A,0.26226831061686207,283
S323,A,0.2622006480889797,284
S167,A,0.26125327848351804,285
S010,B,0.2612148272902975,286
S320,C,0.2610919928171233,287
S158,A,0.26065492362174036,288
S287,B,0.2600080574028177,289
S137,B,0.2582252304057645,290
S148,A,0.2580558693862191,291
S242,A,0.25631245327222607,292
S385,B,0.25628607662569863,293
S045,B,0.2556261462636064,294
S101,A,0.2553259524548655,295
S297,C,0.25508469781102394,296
S399,B,0.2531614701219679,297
