供应商ID,品类,安全指数_I,排名,因子得分_F1,因子得分_F2,因子得分_F3,因子得分_F4
S273,A,1.0,1,-0.7617758535076256,2.254481486637816,2.6256416299244476,7.805885290474686
S333,B,0.9690734406748933,2,0.16320920496886498,-0.45689897352347775,3.075435036742234,8.419418060289583
S317,A,0.7673267157801448,3,1.4150161861600792,1.2554304634268203,0.8756992271748686,1.065908756585955
S278,A,0.7355492377133844,4,1.3269107996073004,1.2338357605849983,0.7721094457887875,0.6621104693511839
S184,A,0.7309861485771367,5,0.9656754735969846,1.325801878310315,0.8903133554850496,1.0696565013210013
S185,A,0.729560532343432,6,1.3866305820374376,1.1867441654067068,0.7505822631544045,0.47889005662904083
S005,A,0.7053522065326581,7,-0.83358437629094,1.7937397808525217,1.4502317123267499,3.053925389543483
S023,C,0.7032494689550749,8,-0.7753901695179292,0.2526797431184724,0.26020043170307844,6.963788366608892
S145,A,0.7030245646253693,9,0.8667458525202354,1.3712823843921293,0.7357415349333326,0.7565521294208648
S101,A,0.6963937443999262,10,1.0132951820134506,1.3227307977209242,0.6500772633157726,0.4521566491381437
S242,A,0.695495672862365,11,0.6330081088485323,1.4391366692862624,0.7742437623573103,0.9486349340128235
S198,A,0.6945884862223679,12,1.1496866737843576,1.2920420740186362,0.5791501636609352,0.24242703355423245
S099,A,0.6889843022302153,13,0.6453187343293375,1.3733197546995293,0.8063502160137513,0.8128824874598182
S370,A,0.6819508167903803,14,0.909319423043967,1.2567538591371394,0.7173053353548385,0.33683612707895483
S156,A,0.678714680766647,15,1.260529630361729,1.1962236892726401,0.520666781149337,-0.17622168773529434
S374,C,0.6785828726856108,16,-2.253096357071385,0.46841645530552367,0.9159638611769382,8.478704932381426
S341,A,0.6732798584576788,17,0.8483703824524346,1.318978559151344,0.6322271613990073,0.28947612944069623
S187,A,0.670286348235097,18,0.5878545490022321,1.4716578332350443,0.6138389627592667,0.6082521980117945
S181,A,0.669024412313644,19,1.2007078803387277,1.2257453101339675,0.46856236191279593,-0.24906191916696757
S105,B,0.6687390889174452,20,0.3199267155333602,-0.735573027584511,1.481882074209811,3.3247402618303044
S021,A,0.6682104034637789,21,0.6665423170635653,1.2622983351685095,0.8004271216107813,0.4263749638902048
S289,A,0.6644665204689199,22,1.1563503630639829,1.2349515389429269,0.46139200629672344,-0.26382228623979215
S205,A,0.6625733023316379,23,0.9279752588646778,1.2791625511050737,0.5589215418672678,0.006864144506098454
S354,A,0.6614287999308456,24,0.7589613203416022,1.384820846925701,0.5438565702166581,0.2279070611424583
S251,A,0.6564736367222113,25,1.1650553680985565,1.2814474456489409,0.34999316585246737,-0.39275267496255406
S093,A,0.6529363206332438,26,1.08821296778715,1.2718061567486212,0.39513471560691543,-0.3539980559592141
S130,A,0.6527743944221862,27,0.8097522800112269,1.3631459851299084,0.48142112116255303,0.01920654844300301
S051,A,0.6519845170523811,28,1.0616744692220248,1.2667724640055618,0.4144279714890083,-0.33664880178220336
S373,A,0.6483179798715987,29,1.0450290120551247,1.2799341268292856,0.3879993691141224,-0.371363981378957
S043,A,0.6478457242508954,30,1.0109119526722634,1.2699312578580495,0.42169323934693353,-0.3378278138261507
S372,A,0.644591222581204,31,0.9840375018393845,1.2804430825136657,0.40842635950863465,-0.35368782456205516
S012,A,0.6406112492805545,32,0.9991090656947197,1.3050336666325726,0.3434385626964816,-0.4310846121128017
S394,A,0.6405498382902908,33,1.0074410791679869,1.308791756519506,0.33258467822871013,-0.44188813844494484
S302,A,0.6401803181825265,34,0.9326266128159272,1.2935150435978682,0.40222857816394236,-0.3558639488175797
S243,A,0.6374596125664674,35,0.5665309675812995,1.4510264172051268,0.45501548315613133,0.10279242996028287
S097,A,0.6366636160090591,36,0.664403161741553,1.3672234157613339,0.4825215179743699,-0.05395061061291002
S071,A,0.6360599512918422,37,0.9918663893252884,1.3257809429527427,0.2957039109803497,-0.4902902340585436
S350,A,0.6333279160234269,38,0.9097659316351925,1.290744823287657,0.380428180418418,-0.43770307675312264
S304,A,0.6323854684971564,39,0.2190348239377316,1.255458986790199,0.9105591686748075,0.418960397375268
S274,A,0.6318430418369619,40,0.4909433830413052,1.3270770385894903,0.626248827885021,0.07988025175210772
S204,A,0.6295445985247551,41,0.9232120049729761,1.3387075459941633,0.28951522975928695,-0.5048072349541386
S283,A,0.6279628543504138,42,0.9203919048954226,1.342647733624821,0.2769722429119433,-0.5255220692159107
