供应商ID,品类,供货总量,供货满足率,供订CV差,可靠性趋势,安全指数_I,排名
S140,B,302047.0,0.8863636363636364,0.7046615030803451,-0.027272727272727337,1.0,1
S108,B,240950.0,0.9458333333333333,-0.09354656158920172,-0.025000000000000022,0.9436724099613062,2
S361,C,328080.0,0.8791666666666667,-0.01504576376162492,-0.07499999999999996,0.925374784772087,3
S229,A,354887.0,0.9458333333333333,-0.016437292175966234,0.04166666666666663,0.8663406206318838,4
S340,B,171426.0,0.9416666666666667,-0.005440254238954556,0.033333333333333326,0.8652408354746803,5
S139,B,151862.0,0.96875,0.222806611837989,0.02622976959260137,0.8347392244792093,6
S131,B,137512.0,0.9083333333333333,-0.008989509720025546,0.016666666666666607,0.8167625655459921,7
S330,B,136652.0,0.9125,-0.5577383531305988,0.05833333333333335,0.8101239559181534,8
S308,B,136998.0,0.9166666666666666,-0.6764582372931048,-0.01666666666666672,0.8040161274907796,9
S151,C,194498.0,0.9541666666666667,-0.3638553791633954,0.008333333333333415,0.780274602888764,10
S356,C,130307.0,0.95,-0.021333344128047327,0.033333333333333326,0.7102193338755657,11
S306,C,126096.0,0.9541666666666667,-0.005254532092567182,-0.008333333333333415,0.7033259045462894,12
S031,B,41207.0,0.925,-0.004036005840866358,-0.01666666666666672,0.7024817514367061,13
S268,C,129786.0,0.9375,0.0003044591650925299,-0.07499999999999996,0.6997982651479797,14
S364,B,28763.0,0.9416666666666667,-0.0974237959497748,-0.016666666666666607,0.6892965272667039,15
S040,B,31905.0,0.9041666666666667,-0.05437284784986962,-0.05833333333333335,0.6833853309591824,16
S367,B,26335.0,0.9,-0.14772064397028828,0.0,0.6784264454267805,17
S055,B,24041.0,0.9,-0.12894799907773824,0.016666666666666607,0.67718282435535,18
S194,C,101365.0,0.9458333333333333,-0.007191908466964547,0.05833333333333335,0.6767507790381992,19
S338,B,30109.0,0.9411764705882353,0.28533319534499624,0.038065942516581686,0.6695170730107283,20
S346,B,23240.0,0.8708333333333333,-0.4596399354570522,0.025000000000000022,0.6653560645350328,21
S282,A,169340.0,0.9875,-0.0036556030297106856,0.008333333333333415,0.6503059981154439,22
S275,A,158553.0,0.9458333333333333,-0.0037342591842596806,0.008333333333333304,0.6291044658167999,23
S329,A,156518.0,0.9416666666666667,-0.0022840678531911573,-0.016666666666666607,0.6240913345649718,24
S098,B,413.0,0.9282296650717703,-0.3406902640322409,0.026653233192892478,0.6216238270500795,25
S374,C,49224.0,0.9958333333333333,-0.10881471123574116,0.008333333333333304,0.6189729055025092,26
S247,C,56698.0,0.9458333333333333,-0.007465799909488924,-0.008333333333333304,0.6185343239329257,27
S284,C,46597.0,1.0,-0.0193083681179107,0.0,0.617596704280187,28
S365,C,41631.0,0.95,-0.01375288201700886,-0.01666666666666672,0.6006229693569816,29
S175,B,366.0,0.9645390070921985,-0.13532064061270344,0.008704453441295557,0.5711014949353874,30
S218,C,15483.0,0.9291666666666667,-0.04341087586795278,0.008333333333333304,0.5664367556288813,31
S294,C,18842.0,0.8791666666666667,-0.028761519200848906,0.05833333333333335,0.5643146284454467,32
S174,B,346.0,0.9841269841269841,-0.10404682944361465,-0.033333333333333326,0.5610694361434394,33
S080,C,19237.0,0.875,-0.03247746225586923,-0.016666666666666607,0.558577027467469,34
S244,C,16406.0,0.8708333333333333,-0.22426404694155055,0.05833333333333335,0.5563949105783712,35
S169,B,359.0,0.9512195121951219,-0.12040277549429301,-0.005570291777188374,0.5500624920508843,36
S256,B,411.0,0.8538461538461538,-0.2436042118188264,0.13095238095238093,0.5427448919110993,37
S092,B,398.0,0.8846153846153846,-0.12820676990243907,-0.0225065150438285,0.5425830796895954,38
S172,B,356.0,0.8613138686131386,-0.15949140959824926,0.004481434058898892,0.5410410987086228,39
S324,B,424.0,0.8602941176470589,-0.18934162341574334,0.031852654387865664,0.5405873454959432,40
S392,B,412.0,0.8478260869565217,-0.10216084870559539,0.005675846121505179,0.540373820141229,41
S352,A,89031.0,0.9166666666666666,-0.0003745451938065303,0.0,0.5395268709469849,42
S141,B,420.0,0.8538461538461538,-0.14678566949055483,0.08599857853589199,0.5385810355000827,43
S348,A,92421.0,0.9195979899497487,1.536501307121073,0.07173252279635267,0.5350209903460978,44
S146,B,352.0,0.7112299465240641,-0.6903597131261634,-0.04261168384879721,0.5349045809140578,45
S086,C,17949.0,0.8421052631578947,0.6116983081093257,-0.043322952921780455,0.5296663618458775,46
S310,B,406.0,0.8125,-0.1556053642446622,0.010489510489510523,0.5292448843588611,47
S143,A,82787.0,0.8958333333333334,-0.21322287418100583,0.05833333333333335,0.5284021058704765,48
S037,C,50686.0,0.9006211180124224,-0.0008493632884558622,-0.08852713178294569,0.5236270187241985,49
S088,B,425.0,0.8235294117647058,-1.7556786447403572,0.04931506849315059,0.5191658727329369,50
