供应商ID,品类,供货总量,供货满足率,安全指数_I,排名
S361,C,328080.0,0.8791666666666667,1.0,1
S140,B,302047.0,0.8863636363636364,0.8861906827624456,2
S151,C,194498.0,0.9541666666666667,0.878412610275656,3
S108,B,240950.0,0.9458333333333333,0.8397784302497343,4
S356,C,130307.0,0.95,0.8212739323706884,5
S306,C,126096.0,0.9541666666666667,0.8173338699037674,6
S268,C,129786.0,0.9375,0.8168657176995552,7
S194,C,101365.0,0.9458333333333333,0.7930577841549836,8
S340,B,171426.0,0.9416666666666667,0.7738647519306296,9
S139,B,151862.0,0.96875,0.7491977223331111,10
S247,C,56698.0,0.9458333333333333,0.7481888539570115,11
S374,C,49224.0,0.9958333333333333,0.7481107490056506,12
S284,C,46597.0,1.0,0.7475865147619923,13
S229,A,354887.0,0.9458333333333333,0.7406882867102639,14
S131,B,137512.0,0.9083333333333333,0.7346932350492981,15
S365,C,41631.0,0.95,0.7339415398811115,16
S330,B,136652.0,0.9125,0.7262689433264913,17
S308,B,136998.0,0.9166666666666666,0.7238827533115341,18
S218,C,15483.0,0.9291666666666667,0.7048666443660758,19
S294,C,18842.0,0.8791666666666667,0.7007946460018085,20
S080,C,19237.0,0.875,0.69893823716915,21
S244,C,16406.0,0.8708333333333333,0.6937438362392045,22
S086,C,17949.0,0.8421052631578947,0.6760040908674125,23
S037,C,50686.0,0.9006211180124224,0.6691154566745281,24
S076,C,376.0,0.9154228855721394,0.6536655146602466,25
S003,C,13138.0,0.8542713567839196,0.6502407047740307,26
S067,C,233.0,0.9881656804733728,0.6484682164161875,27
S031,B,41207.0,0.925,0.6430589389162759,28
S213,C,246.0,0.9578313253012049,0.6378081962703187,29
S364,B,28763.0,0.9416666666666667,0.6322280506060716,30
S129,C,1525.0,0.7783251231527094,0.6298877327849977,31
S040,B,31905.0,0.9041666666666667,0.6287666086409985,32
S314,C,1670.0,0.7787234042553192,0.6233391441466631,33
S074,C,13051.0,0.7213114754098361,0.6228222212136304,34
S367,B,26335.0,0.9,0.6222101917445699,35
S055,B,24041.0,0.9,0.6206105140623757,36
S126,C,47540.0,0.84,0.6194537660701491,37
S338,B,30109.0,0.9411764705882353,0.6131224650328604,38
S346,B,23240.0,0.8708333333333333,0.6095016198015306,39
S245,C,386.0,0.803680981595092,0.5999851764206477,40
S113,C,385.0,0.9015151515151515,0.5958882685497222,41
S025,C,375.0,0.8592592592592593,0.5902382467124329,42
S098,B,413.0,0.9282296650717703,0.572864646714338,43
S362,C,91.0,0.9857142857142858,0.5708257188713379,44
S210,C,15694.0,0.6618705035971223,0.568162614355079,45
S282,A,169340.0,0.9875,0.5664351829810447,46
S263,C,427.0,0.7894736842105263,0.5643909526303142,47
S239,C,430.0,0.9862068965517241,0.5616791373386999,48
S110,C,426.0,0.7077922077922078,0.5568069401019604,49
S253,C,223.0,0.9305555555555556,0.5553136656002021,50
