题目,评委ID,阅卷量,信度,效度,公平性,区分力,评分均值,评分标准差,获奖率,公平性_raw,TOPSIS得分,排名,TOPSIS等权,排名等权,聚类,Silhouette,分层,信度_排名,效度_排名,公平性_排名,区分力_排名
A,专家A01,101,0.4343726172827681,0.5320708200682815,-0.5131593276797403,11.264959990862193,51.43564356435643,11.264959990862193,0.39603960396039606,0.5131593276797403,0.4651979124392148,9,0.5179105179573248,9,1,0.3872836638441291,合格,10,9,6,9
A,专家A02,100,0.42579295611715406,0.6778342372503291,-0.6709200089091115,21.440111940006283,50.04,21.440111940006283,0.44,0.6709200089091115,0.769931854426675,1,0.7242105174798464,1,0,0.3872836638441291,优秀,11,5,7,2
A,专家A03,103,0.6010230571743082,0.7143724185211562,-0.4275015341792113,13.98367010134507,59.75728155339806,13.98367010134507,0.4174757281553398,0.4275015341792113,0.6480518524465929,2,0.7218294592848262,2,2,0.3872836638441291,良好,4,1,5,5
A,专家A04,100,0.48169493265951174,0.43643096820545507,-0.037827909664413774,12.344792424338289,56.31,12.344792424338289,0.32,0.037827909664413774,0.500965577128782,6,0.5401172091086484,7,1,0.3872836638441291,合格,8,13,1,7
A,专家A05,101,0.36194909264511477,0.5045360268802227,-0.7258049678158109,9.280529226464534,49.554455445544555,9.280529226464534,0.49504950495049505,0.7258049678158109,0.37088080692210706,13,0.4200509851723368,13,1,0.3872836638441291,合格,13,10,8,12
A,专家A06,103,0.6300344030216801,0.6848374138291029,-1.2461185333710367,15.25089756440374,44.95145631067961,15.25089756440374,0.4174757281553398,1.2461185333710367,0.5923350010392077,4,0.6387998692536848,3,2,0.3872836638441291,良好,3,4,10,4
A,专家A07,100,0.6488232585745065,0.5795363988608674,-1.459845264633304,12.99453346603871,68.89,12.99453346603871,0.44,1.459845264633304,0.47444161662039047,8,0.538599981247708,8,2,0.3872836638441291,良好,2,7,13,6
A,专家A08,102,0.44946760285579673,0.5798719622047239,-0.42723254991891735,10.875801773022282,59.754901960784316,10.875801773022282,0.4411764705882353,0.42723254991891735,0.49216425181157336,7,0.5562447904617049,6,1,0.3872836638441291,合格,9,6,4,10
A,专家A09,102,0.5310162154989625,0.5481561093899495,-1.2583626968996264,12.040572830193765,44.84313725490196,12.040572830193765,0.38235294117647056,1.2583626968996264,0.4295930496414425,11,0.4888114106318907,11,2,0.3872836638441291,良好,5,8,11,8
A,专家A10,101,0.12025844978711242,0.35204579940336556,-0.12925434304712705,6.803154668229941,57.118811881188115,6.803154668229941,0.44554455445544555,0.12925434304712705,0.3378010185061932,14,0.3544804589845287,14,1,0.3872836638441291,合格,14,14,2,14
A,专家A11,102,0.48310406208368656,0.48498929696352183,-0.2465934800757726,9.46794913092941,58.15686274509804,9.46794913092941,0.47058823529411764,0.2465934800757726,0.44610166417911784,10,0.5135244386767414,10,1,0.3872836638441291,合格,7,12,3,11
A,专家A12,101,0.4072613318124441,0.4982552186937132,-1.1835290430901753,23.355401032239367,66.44554455445545,23.355401032239367,0.4158415841584158,1.1835290430901753,0.6322363886436296,3,0.5624781264309194,5,0,0.3872836638441291,优秀,12,11,9,1
A,专家A13,102,0.49053637074503265,0.6918033950847816,-1.9233230056750201,8.518141077285211,72.99019607843137,8.518141077285211,0.4411764705882353,1.9233230056750201,0.38920396472691815,12,0.4547864475968204,12,2,0.3872836638441291,良好,6,2,14,13
A,专家A14,102,0.6754869642629833,0.6907378405456022,-1.3957813757987059,15.306618822490119,43.627450980392155,15.306618822490119,0.39215686274509803,1.3957813757987059,0.5845499119007744,5,0.6307550462720551,4,2,0.3872836638441291,良好,1,3,12,3
B,专家B01,101,0.8333383627691151,0.5466029562982709,-0.03314778928795652,14.503940085782196,51.17821782178218,14.503940085782196,0.32673267326732675,0.03314778928795652,0.5983596103825359,20,0.6571179194122371,22,2,0.2503325727755938,优秀,1,48,4,24
B,专家B02,101,0.819751936375978,0.7634771124107146,-0.467657815955607,18.23266184206985,47.18811881188119,18.23266184206985,0.44554455445544555,0.467657815955607,0.8185600835784878,2,0.8541017601669086,2,2,0.2503325727755938,优秀,2,4,24,5
B,专家B03,101,0.2694525354747984,0.3821970220902781,-0.776571888199403,10.834461243468995,58.613861386138616,10.834461243468995,0.39603960396039606,0.776571888199403,0.27037463068878964,55,0.32421837296883593,54,3,0.2503325727755938,需关注,54,55,37,45
B,专家B04,101,0.8143012368436308,0.7278284162751515,-0.019131336814806575,8.287820688665613,51.306930693069305,8.287820688665613,0.42574257425742573,0.019131336814806575,0.4857605258364049,36,0.6157875723985089,27,0,0.2503325727755938,良好,3,12,3,55
B,专家B05,101,0.64208121021134,0.680740032932377,-0.4369424628884597,13.948720628637133,55.495049504950494,13.948720628637133,0.39603960396039606,0.4369424628884597,0.5783907923759987,23,0.6548630603178552,23,0,0.2503325727755938,良好,26,26,23,28
B,专家B06,100,0.62070120426377,0.618325878490383,-0.36560950168664447,17.036267196777587,54.84,17.036267196777587,0.42,0.36560950168664447,0.6630524851289018,12,0.6774621212466161,18,2,0.2503325727755938,优秀,31,38,20,10
B,专家B07,103,0.6468752450620585,0.7929547016282915,-0.37563225965079017,13.857290770335934,54.932038834951456,13.857290770335934,0.49514563106796117,0.37563225965079017,0.6122616259874525,19,0.6979603118079845,15,0,0.2503325727755938,良好,23,1,21,29
B,专家B08,100,0.5501965452180547,0.7045987672800271,-0.6111970711671815,21.579460141532735,45.87,21.579460141532735,0.45,0.6111970711671815,0.7819799483297517,3,0.7385638937524117,9,2,0.2503325727755938,优秀,40,22,31,1
B,专家B09,102,0.6603162046740403,0.6644186549508659,-0.1134094209837547,10.339884257526975,50.44117647058823,10.339884257526975,0.43137254901960786,0.1134094209837547,0.47619292614514386,38,0.5936853906187213,30,0,0.2503325727755938,良好,18,29,10,49
B,专家B10,102,0.7656672147451921,0.685197291733903,-0.9824506152730124,16.332736024668943,42.46078431372549,16.332736024668943,0.5196078431372549,0.9824506152730124,0.6844317408430101,11,0.7180651318969044,12,2,0.2503325727755938,优秀,5,25,40,11
B,专家B11,101,0.582382020075766,0.5412997030404602,-1.0698392014837723,11.965083338290054,61.306930693069305,11.965083338290054,0.39603960396039606,1.0698392014837723,0.41256451956159795,46,0.47638315348871935,47,1,0.2503325727755938,合格,35,49,43,37
B,专家B12,100,0.6808404191887845,0.7049007130661982,-0.8001087464677769,15.763917660277219,58.83,15.763917660277219,0.41,0.8001087464677769,0.6555694492285564,13,0.7015614856208683,14,2,0.2503325727755938,优秀,13,21,38,15
B,专家B13,101,0.47102235553995214,0.6267501445787632,-0.3533698188668454,11.017671237698536,48.23762376237624,11.017671237698536,0.33663366336633666,0.3533698188668454,0.421859490498334,45,0.514075057065386,42,0,0.2503325727755938,良好,49,36,18,44
B,专家B14,100,0.7018035635670864,0.7145802084721745,-0.05743083934814603,14.81519152761786,52.01,14.81519152761786,0.43,0.05743083934814603,0.6475191878789303,14,0.7273741726142907,10,2,0.2503325727755938,优秀,11,18,5,22
B,专家B15,102,0.5668511479105645,0.6079918972335911,-0.06808566873267563,11.277173598360138,52.1078431372549,11.277173598360138,0.38235294117647056,0.06808566873267563,0.4583764361974974,39,0.5578615163142315,37,0,0.2503325727755938,良好,39,41,6,42
