题目,评委ID,TOPSIS_熵权,TOPSIS_CRITIC,TOPSIS_CV,TOPSIS_标准差,TOPSIS_PCA,TOPSIS_GRA,排名_熵权,排名_CRITIC,排名_CV,排名_标准差,排名_PCA,排名_GRA
A,专家A01,0.4437938492353609,0.49272740646715746,0.4651979124392148,0.5236615909725121,0.5578675620138492,0.5179105179573248,9,8,9,8,6,9
A,专家A02,0.7871128645769252,0.748435025169392,0.769931854426675,0.7353540593373841,0.7263431734054719,0.7242105174798464,1,1,1,1,2,1
A,专家A03,0.6194967857527661,0.6655582027748174,0.6480518524465929,0.7262455108267857,0.795274163361735,0.7218294592848262,3,2,2,2,1,2
A,专家A04,0.4860300396719147,0.5387390192022863,0.500965577128782,0.5398393242193987,0.5437753022378413,0.5401172091086484,6,6,6,7,9,7
A,专家A05,0.3501053531229258,0.3972018237161162,0.37088080692210706,0.427960526854774,0.46231381470214616,0.4200509851723368,13,12,13,13,13,13
A,专家A06,0.5741408571835153,0.5843149711956168,0.5923350010392077,0.6278388030804007,0.6611053345632802,0.6387998692536848,4,4,4,3,3,3
A,专家A07,0.4498970001055994,0.47650690846101995,0.47444161662039047,0.5182024325839437,0.5470137659410492,0.538599981247708,8,10,8,9,8,8
A,专家A08,0.4660688724500875,0.5193940331945635,0.49216425181157336,0.5654363488901343,0.6181376838337063,0.5562447904617049,7,7,7,5,5,6
A,专家A09,0.407161753428183,0.43752241174484535,0.4295930496414425,0.4756528576628439,0.505446955985933,0.4888114106318907,11,11,11,11,11,11
A,专家A10,0.3279072877554534,0.3748693040802587,0.3378010185061932,0.37326215786355915,0.38126899015626126,0.3544804589845287,14,14,14,14,14,14
A,专家A11,0.4198940257872224,0.4855004453368662,0.44610166417911784,0.5159003412032184,0.5500709697078576,0.5135244386767414,10,9,10,10,7,10
A,专家A12,0.6605830271929817,0.6091030200067968,0.6322363886436296,0.5527461196830225,0.48847291582587,0.5624781264309194,2,3,3,6,12,5
A,专家A13,0.3598692521440766,0.38063830188020237,0.38920396472691815,0.45165329879274574,0.5086032494598567,0.4547864475968204,12,13,12,12,10,12
A,专家A14,0.566387494017185,0.5737490486233188,0.5845499119007744,0.616644210250154,0.6470590819891925,0.6307550462720551,5,5,5,4,4,4
