题目,方法,K,Silhouette,评委数
A,熵权,3,0.3910089504126703,14
B,熵权,4,0.2435817243625177,55
C,熵权,3,0.37476158405631654,20
D,熵权,4,0.2501726331628677,69
E,熵权,3,0.27703238553207465,38
A,CRITIC,3,0.38472357151385367,14
B,CRITIC,4,0.2523679445835866,55
C,CRITIC,3,0.4129626588054468,20
D,CRITIC,5,0.2560255828938006,69
E,CRITIC,3,0.2741119389035619,38
A,CV,3,0.3872836638441291,14
B,CV,4,0.2503325727755938,55
C,CV,3,0.3942456491082811,20
D,CV,4,0.2481780615046086,69
E,CV,3,0.2763577191263542,38
A,标准差,3,0.37982315533575467,14
B,标准差,4,0.24773029975351,55
C,标准差,3,0.4046677047804782,20
D,标准差,5,0.25550527326678346,69
E,标准差,3,0.272190243684921,38
A,PCA,3,0.3755328238606653,14
B,PCA,4,0.29228997029516235,55
C,PCA,3,0.40543355518258073,20
D,PCA,5,0.2540221658659238,69
E,PCA,3,0.27164520417065974,38
A,GRA,3,0.3805396727165828,14
B,GRA,4,0.24736013389287942,55
C,GRA,3,0.3980469026456047,20
D,GRA,5,0.2553218293821979,69
E,GRA,3,0.26871690403018106,38
