题目,方法,信度,效度,公平性,区分力
A,熵权,0.1529393694725662,0.2244057502483344,0.24047349646572552,0.3821813838133739
A,CRITIC,0.19803220147314257,0.2160510514911724,0.27116826154808593,0.31474848548759904
A,CV,0.18047776506516858,0.23386983275833834,0.24273556339533012,0.34291683878116286
A,标准差,0.222312608512783,0.26596529057393786,0.26605366337206304,0.24566843754121595
A,PCA,0.24048267666752876,0.3160428141825208,0.27860815111112563,0.16486635803882485
A,GRA,0.25,0.25,0.25,0.25
B,熵权,0.20302799975109842,0.2031148831057493,0.1516857789073876,0.4421713382357647
B,CRITIC,0.21569658382986384,0.22614227196743317,0.2800602773202442,0.27810086688245883
B,CV,0.224553221434089,0.22364792965913521,0.18955791840948902,0.3622409304972868
B,标准差,0.2360790454839404,0.2524420021895684,0.2494891278279689,0.2619898244985223
B,PCA,0.2694756483583499,0.3052169694837664,0.17688340575737352,0.24842397640051017
B,GRA,0.25,0.25,0.25,0.25
C,熵权,0.19886174380905272,0.21599020881540634,0.22215647744680356,0.3629915699287374
C,CRITIC,0.22653918194917713,0.1559573523792943,0.3556083424453569,0.26189512322617176
C,CV,0.21728372255997588,0.2438769106416761,0.22179295015349046,0.3170464166448576
C,标准差,0.2368180257687457,0.21654300161776185,0.3012930475317961,0.2453459250816964
C,PCA,0.20203353652748085,0.2953390865797291,0.3322895661662567,0.17033781072653317
C,GRA,0.25,0.25,0.25,0.25
D,熵权,0.20315041659275612,0.1827283108600128,0.17685431739869822,0.43726695514853287
D,CRITIC,0.2387066883912437,0.22168599181832643,0.2798666348417076,0.25974068494872227
D,CV,0.22270490005578852,0.20135660872049085,0.21723831271944377,0.3587001785042767
D,标准差,0.24880186545420266,0.24269348503428465,0.2537734286087181,0.25473122090279476
D,PCA,0.3676170178015504,0.36108174926445913,0.01627254704420368,0.25502868588978683
D,GRA,0.25,0.25,0.25,0.25
E,熵权,0.1533307476066837,0.38285767667602605,0.15932262058821303,0.3044889551290772
E,CRITIC,0.19599667964850587,0.2860013551357439,0.23822994003765507,0.2797720251780951
E,CV,0.18939820385476341,0.3133643149174045,0.19898953160587474,0.2982479496219574
E,标准差,0.21327703522011662,0.2721181743657161,0.24679379908698693,0.26781099132718034
E,PCA,0.21440082394107673,0.26758210772877017,0.2542958302823721,0.26372123804778097
E,GRA,0.25,0.25,0.25,0.25
