dataset,model,fpr,tpr
Zeller,L2,0.000000,0.000000
Zeller,L2,0.000000,0.020833
Zeller,L2,0.013699,0.020833
Zeller,L2,0.013699,0.062500
Zeller,L2,0.027397,0.062500
Zeller,L2,0.027397,0.125000
Zeller,L2,0.041096,0.125000
Zeller,L2,0.041096,0.250000
Zeller,L2,0.054795,0.250000
Zeller,L2,0.054795,0.395833
Zeller,L2,0.068493,0.395833
Zeller,L2,0.068493,0.479167
Zeller,L2,0.082192,0.479167
Zeller,L2,0.082192,0.520833
Zeller,L2,0.109589,0.520833
Zeller,L2,0.109589,0.583333
Zeller,L2,0.123288,0.583333
Zeller,L2,0.123288,0.604167
Zeller,L2,0.219178,0.604167
Zeller,L2,0.219178,0.645833
Zeller,L2,0.246575,0.645833
Zeller,L2,0.246575,0.729167
Zeller,L2,0.260274,0.729167
Zeller,L2,0.260274,0.750000
Zeller,L2,0.273973,0.750000
Zeller,L2,0.273973,0.770833
Zeller,L2,0.287671,0.770833
Zeller,L2,0.287671,0.791667
Zeller,L2,0.315068,0.791667
Zeller,L2,0.315068,0.812500
Zeller,L2,0.342466,0.812500
Zeller,L2,0.342466,0.833333
Zeller,L2,0.479452,0.833333
Zeller,L2,0.479452,0.854167
Zeller,L2,0.534247,0.854167
Zeller,L2,0.534247,0.875000
Zeller,L2,0.561644,0.875000
Zeller,L2,0.561644,0.895833
Zeller,L2,0.671233,0.895833
Zeller,L2,0.671233,0.916667
Zeller,L2,0.698630,0.916667
Zeller,L2,0.698630,0.979167
Zeller,L2,0.726027,0.979167
Zeller,L2,0.726027,1.000000
Zeller,L2,1.000000,1.000000
Zeller,RF,0.000000,0.000000
Zeller,RF,0.000000,0.020833
Zeller,RF,0.000000,0.208333
Zeller,RF,0.000000,0.250000
Zeller,RF,0.000000,0.291667
Zeller,RF,0.013699,0.291667
Zeller,RF,0.013699,0.479167
Zeller,RF,0.027397,0.479167
Zeller,RF,0.027397,0.562500
Zeller,RF,0.082192,0.562500
Zeller,RF,0.082192,0.645833
Zeller,RF,0.095890,0.645833
Zeller,RF,0.109589,0.687500
Zeller,RF,0.109589,0.729167
Zeller,RF,0.109589,0.750000
Zeller,RF,0.150685,0.750000
Zeller,RF,0.150685,0.770833
Zeller,RF,0.178082,0.770833
Zeller,RF,0.178082,0.812500
Zeller,RF,0.232877,0.812500
Zeller,RF,0.232877,0.833333
Zeller,RF,0.287671,0.833333
Zeller,RF,0.287671,0.854167
Zeller,RF,0.328767,0.854167
Zeller,RF,0.356164,0.854167
Zeller,RF,0.383562,0.854167
Zeller,RF,0.410959,0.854167
Zeller,RF,0.465753,0.854167
Zeller,RF,0.465753,0.875000
Zeller,RF,0.493151,0.875000
Zeller,RF,0.534247,0.875000
Zeller,RF,0.561644,0.875000
Zeller,RF,0.575342,0.875000
Zeller,RF,0.602740,0.875000
Zeller,RF,0.630137,0.875000
Zeller,RF,0.684932,0.875000
Zeller,RF,0.684932,0.895833
Zeller,RF,0.698630,0.895833
Zeller,RF,0.698630,0.958333
Zeller,RF,0.739726,0.958333
Zeller,RF,0.739726,0.979167
Zeller,RF,0.821918,0.979167
Zeller,RF,0.835616,1.000000
Zeller,RF,0.863014,1.000000
Zeller,RF,1.000000,1.000000
metahit,L2,0.000000,0.000000
metahit,L2,0.000000,0.040000
metahit,L2,0.011765,0.040000
metahit,L2,0.011765,0.160000
metahit,L2,0.023529,0.160000
metahit,L2,0.023529,0.200000
metahit,L2,0.035294,0.200000
metahit,L2,0.035294,0.360000
metahit,L2,0.047059,0.360000
metahit,L2,0.047059,0.520000
metahit,L2,0.070588,0.520000
metahit,L2,0.070588,0.640000
metahit,L2,0.094118,0.640000
metahit,L2,0.094118,0.680000
metahit,L2,0.117647,0.680000
metahit,L2,0.117647,0.760000
metahit,L2,0.152941,0.760000
metahit,L2,0.152941,0.800000
metahit,L2,0.188235,0.800000
metahit,L2,0.188235,0.840000
metahit,L2,0.258824,0.840000
metahit,L2,0.258824,0.880000
metahit,L2,0.317647,0.880000
metahit,L2,0.317647,0.920000
metahit,L2,0.341176,0.920000
metahit,L2,0.341176,0.960000
metahit,L2,0.776471,0.960000
metahit,L2,0.776471,1.000000
metahit,L2,1.000000,1.000000
metahit,RF,0.000000,0.000000
metahit,RF,0.000000,0.040000
metahit,RF,0.011765,0.080000
metahit,RF,0.011765,0.440000
metahit,RF,0.023529,0.440000
metahit,RF,0.035294,0.480000
metahit,RF,0.035294,0.560000
metahit,RF,0.047059,0.600000
metahit,RF,0.058824,0.600000
metahit,RF,0.082353,0.640000
metahit,RF,0.082353,0.680000
metahit,RF,0.094118,0.680000
metahit,RF,0.105882,0.720000
metahit,RF,0.129412,0.720000
metahit,RF,0.129412,0.760000
metahit,RF,0.141176,0.760000
metahit,RF,0.164706,0.760000
metahit,RF,0.200000,0.760000
metahit,RF,0.223529,0.840000
metahit,RF,0.223529,0.880000
metahit,RF,0.282353,0.880000
metahit,RF,0.282353,0.920000
metahit,RF,0.305882,0.920000
metahit,RF,0.317647,0.960000
metahit,RF,0.400000,0.960000
metahit,RF,0.447059,0.960000
