dataset,threshold,acc,f1,recall,specificity,youden_j
Zeller,0.000000,0.396694,0.568047,1.000000,0.000000,0.000000
Zeller,0.000001,0.396694,0.568047,1.000000,0.000000,0.000000
Zeller,0.000010,0.404959,0.571429,1.000000,0.013699,0.013699
Zeller,0.000015,0.413223,0.574850,1.000000,0.027397,0.027397
Zeller,0.000019,0.421488,0.578313,1.000000,0.041096,0.041096
Zeller,0.000021,0.429752,0.581818,1.000000,0.054795,0.054795
Zeller,0.000049,0.438017,0.585366,1.000000,0.068493,0.068493
Zeller,0.000055,0.446281,0.588957,1.000000,0.082192,0.082192
Zeller,0.000070,0.454545,0.592593,1.000000,0.095890,0.095890
Zeller,0.000098,0.462810,0.596273,1.000000,0.109589,0.109589
Zeller,0.000102,0.471074,0.600000,1.000000,0.123288,0.123288
Zeller,0.000128,0.479339,0.603774,1.000000,0.136986,0.136986
Zeller,0.000204,0.487603,0.607595,1.000000,0.150685,0.150685
Zeller,0.000241,0.495868,0.611465,1.000000,0.164384,0.164384
Zeller,0.000244,0.504132,0.615385,1.000000,0.178082,0.178082
Zeller,0.000290,0.512397,0.619355,1.000000,0.191781,0.191781
Zeller,0.000300,0.520661,0.623377,1.000000,0.205479,0.205479
Zeller,0.000324,0.528926,0.627451,1.000000,0.219178,0.219178
Zeller,0.000326,0.537190,0.631579,1.000000,0.232877,0.232877
Zeller,0.000356,0.545455,0.635762,1.000000,0.246575,0.246575
Zeller,0.000509,0.553719,0.640000,1.000000,0.260274,0.260274
Zeller,0.000617,0.561983,0.644295,1.000000,0.273973,0.273973
Zeller,0.000688,0.553719,0.635135,0.979167,0.273973,0.253139
Zeller,0.000740,0.561983,0.639456,0.979167,0.287671,0.266838
Zeller,0.000931,0.570248,0.643836,0.979167,0.301370,0.280537
Zeller,0.001106,0.561983,0.634483,0.958333,0.301370,0.259703
Zeller,0.001491,0.553719,0.625000,0.937500,0.301370,0.238870
Zeller,0.002050,0.545455,0.615385,0.916667,0.301370,0.218037
Zeller,0.002091,0.553719,0.619718,0.916667,0.315068,0.231735
Zeller,0.002525,0.561983,0.624113,0.916667,0.328767,0.245434
Zeller,0.002972,0.553719,0.614286,0.895833,0.328767,0.224600
Zeller,0.004083,0.561983,0.618705,0.895833,0.342466,0.238299
Zeller,0.004883,0.570248,0.623188,0.895833,0.356164,0.251998
Zeller,0.005465,0.578512,0.627737,0.895833,0.369863,0.265696
Zeller,0.005913,0.586777,0.632353,0.895833,0.383562,0.279395
Zeller,0.006477,0.595041,0.637037,0.895833,0.397260,0.293094
Zeller,0.006994,0.603306,0.641791,0.895833,0.410959,0.306792
Zeller,0.007207,0.611570,0.646617,0.895833,0.424658,0.320491
Zeller,0.007819,0.619835,0.651515,0.895833,0.438356,0.334189
Zeller,0.008098,0.611570,0.641221,0.875000,0.438356,0.313356
Zeller,0.008743,0.619835,0.646154,0.875000,0.452055,0.327055
Zeller,0.011146,0.628099,0.651163,0.875000,0.465753,0.340753
Zeller,0.014161,0.619835,0.640625,0.854167,0.465753,0.319920
Zeller,0.014709,0.628099,0.645669,0.854167,0.479452,0.333619
Zeller,0.015752,0.636364,0.650794,0.854167,0.493151,0.347317
Zeller,0.017242,0.644628,0.656000,0.854167,0.506849,0.361016
Zeller,0.019976,0.652893,0.661290,0.854167,0.520548,0.374715
Zeller,0.020599,0.644628,0.650407,0.833333,0.520548,0.353881
Zeller,0.023332,0.652893,0.655738,0.833333,0.534247,0.367580
Zeller,0.025368,0.661157,0.661157,0.833333,0.547945,0.381279
Zeller,0.027852,0.669421,0.666667,0.833333,0.561644,0.394977
Zeller,0.030049,0.677686,0.672269,0.833333,0.575342,0.408676
Zeller,0.031067,0.685950,0.677966,0.833333,0.589041,0.422374
Zeller,0.035736,0.694215,0.683761,0.833333,0.602740,0.436073
Zeller,0.038351,0.702479,0.689655,0.833333,0.616438,0.449772
Zeller,0.047183,0.710744,0.695652,0.833333,0.630137,0.463470
Zeller,0.048918,0.719008,0.701754,0.833333,0.643836,0.477169
Zeller,0.052522,0.727273,0.707965,0.833333,0.657534,0.490868
Zeller,0.067566,0.719008,0.696429,0.812500,0.657534,0.470034
Zeller,0.074484,0.727273,0.702703,0.812500,0.671233,0.483733
Zeller,0.086554,0.735537,0.709091,0.812500,0.684932,0.497432
Zeller,0.092906,0.727273,0.697248,0.791667,0.684932,0.476598
Zeller,0.098662,0.735537,0.703704,0.791667,0.698630,0.490297
Zeller,0.118172,0.743802,0.710280,0.791667,0.712329,0.503995
Zeller,0.140330,0.735537,0.698113,0.770833,0.712329,0.483162
Zeller,0.154286,0.743802,0.704762,0.770833,0.726027,0.496861
Zeller,0.167265,0.735537,0.692308,0.750000,0.726027,0.476027
Zeller,0.185691,0.743802,0.699029,0.750000,0.739726,0.489726
Zeller,0.214959,0.735537,0.686275,0.729167,0.739726,0.468893
Zeller,0.215707,0.743802,0.693069,0.729167,0.753425,0.482591
Zeller,0.234337,0.735537,0.680000,0.708333,0.753425,0.461758
Zeller,0.245586,0.727273,0.666667,0.687500,0.753425,0.440925
Zeller,0.249656,0.719008,0.653061,0.666667,0.753425,0.420091
Zeller,0.252011,0.710744,0.639175,0.645833,0.753425,0.399258
Zeller,0.335922,0.719008,0.645833,0.645833,0.767123,0.412957
Zeller,0.346813,0.727273,0.652632,0.645833,0.780822,0.426655
Zeller,0.358154,0.719008,0.638298,0.625000,0.780822,0.405822
Zeller,0.426764,0.710744,0.623656,0.604167,0.780822,0.384989
Zeller,0.471196,0.719008,0.630435,0.604167,0.794521,0.398687
Zeller,0.517685,0.727273,0.637363,0.604167,0.808219,0.412386
Zeller,0.561083,0.735537,0.644444,0.604167,0.821918,0.426084
Zeller,0.637738,0.743802,0.651685,0.604167,0.835616,0.439783
Zeller,0.655266,0.752066,0.659091,0.604167,0.849315,0.453482
Zeller,0.718636,0.760331,0.666667,0.604167,0.863014,0.467180
Zeller,0.763280,0.768595,0.674419,0.604167,0.876712,0.480879
Zeller,0.763483,0.760331,0.658824,0.583333,0.876712,0.460046
Zeller,0.765919,0.768595,0.666667,0.583333,0.890411,0.473744
Zeller,0.772252,0.760331,0.650602,0.562500,0.890411,0.452911
Zeller,0.812133,0.752066,0.634146,0.541667,0.890411,0.432078
Zeller,0.813359,0.743802,0.617284,0.520833,0.890411,0.411244
Zeller,0.830811,0.752066,0.625000,0.520833,0.904110,0.424943
Zeller,0.847863,0.760331,0.632911,0.520833,0.917808,0.438642
Zeller,0.884528,0.752066,0.615385,0.500000,0.917808,0.417808
Zeller,0.899913,0.743802,0.597403,0.479167,0.917808,0.396975
Zeller,0.935707,0.752066,0.605263,0.479167,0.931507,0.410674
Zeller,0.935737,0.743802,0.586667,0.458333,0.931507,0.389840
Zeller,0.942304,0.735537,0.567568,0.437500,0.931507,0.369007
Zeller,0.950446,0.727273,0.547945,0.416667,0.931507,0.348174
Zeller,0.954212,0.719008,0.527778,0.395833,0.931507,0.327340
Zeller,0.961980,0.727273,0.535211,0.395833,0.945205,0.341039
Zeller,0.968035,0.719008,0.514286,0.375000,0.945205,0.320205
Zeller,0.971825,0.710744,0.492754,0.354167,0.945205,0.299372
Zeller,0.972691,0.702479,0.470588,0.333333,0.945205,0.278539
