disease,feature,feature2,spearman
CRC,Peptostreptococcus_stomatis,Peptostreptococcus_stomatis,1.000000
CRC,Peptostreptococcus_stomatis,Fusobacterium_nucleatum,0.761765
CRC,Peptostreptococcus_stomatis,Porphyromonas_somerae,0.828571
CRC,Peptostreptococcus_stomatis,Clostridium_hathewayi,-0.100733
CRC,Fusobacterium_nucleatum,Peptostreptococcus_stomatis,0.761765
CRC,Fusobacterium_nucleatum,Fusobacterium_nucleatum,1.000000
CRC,Fusobacterium_nucleatum,Porphyromonas_somerae,NaN
CRC,Fusobacterium_nucleatum,Clostridium_hathewayi,0.345865
CRC,Porphyromonas_somerae,Peptostreptococcus_stomatis,0.828571
CRC,Porphyromonas_somerae,Fusobacterium_nucleatum,NaN
CRC,Porphyromonas_somerae,Porphyromonas_somerae,1.000000
CRC,Porphyromonas_somerae,Clostridium_hathewayi,-0.428571
CRC,Clostridium_hathewayi,Peptostreptococcus_stomatis,-0.100733
CRC,Clostridium_hathewayi,Fusobacterium_nucleatum,0.345865
CRC,Clostridium_hathewayi,Porphyromonas_somerae,-0.428571
CRC,Clostridium_hathewayi,Clostridium_hathewayi,1.000000
IBD,Alistipes_finegoldii,Alistipes_finegoldii,1.000000
IBD,Alistipes_finegoldii,Bifidobacterium_bifidum,0.279720
IBD,Alistipes_finegoldii,Akkermansia_muciniphila,0.171200
IBD,Alistipes_finegoldii,Eubacterium_ventriosum,0.197586
IBD,Bifidobacterium_bifidum,Alistipes_finegoldii,0.279720
IBD,Bifidobacterium_bifidum,Bifidobacterium_bifidum,1.000000
IBD,Bifidobacterium_bifidum,Akkermansia_muciniphila,-0.472727
IBD,Bifidobacterium_bifidum,Eubacterium_ventriosum,-0.037363
IBD,Akkermansia_muciniphila,Alistipes_finegoldii,0.171200
IBD,Akkermansia_muciniphila,Bifidobacterium_bifidum,-0.472727
IBD,Akkermansia_muciniphila,Akkermansia_muciniphila,1.000000
IBD,Akkermansia_muciniphila,Eubacterium_ventriosum,0.222686
IBD,Eubacterium_ventriosum,Alistipes_finegoldii,0.197586
IBD,Eubacterium_ventriosum,Bifidobacterium_bifidum,-0.037363
IBD,Eubacterium_ventriosum,Akkermansia_muciniphila,0.222686
IBD,Eubacterium_ventriosum,Eubacterium_ventriosum,1.000000
