probability,train_density,test_density
0.000000,1.773112,2.922402
0.001669,1.775581,2.932426
0.003339,1.777840,2.941669
0.005008,1.779889,2.950125
0.006678,1.781727,2.957786
0.008347,1.783353,2.964650
0.010017,1.784766,2.970710
0.011686,1.785966,2.975965
0.013356,1.786953,2.980410
0.015025,1.787727,2.984044
0.016694,1.788286,2.986864
0.018364,1.788631,2.988872
0.020033,1.788762,2.990065
0.021703,1.788679,2.990445
0.023372,1.788382,2.990013
0.025042,1.787870,2.988772
0.026711,1.787144,2.986723
0.028381,1.786205,2.983871
0.030050,1.785052,2.980219
0.031720,1.783687,2.975772
0.033389,1.782109,2.970535
0.035058,1.780319,2.964515
0.036728,1.778319,2.957719
0.038397,1.776108,2.950153
0.040067,1.773687,2.941826
0.041736,1.771057,2.932746
0.043406,1.768220,2.922923
0.045075,1.765176,2.912366
0.046745,1.761927,2.901086
0.048414,1.758473,2.889094
0.050083,1.754815,2.876401
0.051753,1.750956,2.863019
0.053422,1.746896,2.848961
0.055092,1.742637,2.834240
0.056761,1.738181,2.818869
0.058431,1.733529,2.802862
0.060100,1.728682,2.786234
0.061770,1.723643,2.768999
0.063439,1.718412,2.751173
0.065109,1.712993,2.732771
0.066778,1.707387,2.713809
0.068447,1.701596,2.694303
0.070117,1.695621,2.674271
0.071786,1.689466,2.653727
0.073456,1.683131,2.632691
0.075125,1.676620,2.611178
0.076795,1.669935,2.589208
0.078464,1.663077,2.566796
0.080134,1.656050,2.543962
0.081803,1.648855,2.520724
0.083472,1.641496,2.497099
0.085142,1.633974,2.473105
0.086811,1.626292,2.448763
0.088481,1.618453,2.424089
0.090150,1.610459,2.399102
0.091820,1.602314,2.373821
0.093489,1.594019,2.348265
0.095159,1.585578,2.322451
0.096828,1.576993,2.296398
0.098497,1.568267,2.270126
0.100167,1.559403,2.243651
0.101836,1.550405,2.216993
0.103506,1.541274,2.190169
0.105175,1.532014,2.163197
0.106845,1.522628,2.136095
0.108514,1.513119,2.108881
0.110184,1.503490,2.081572
0.111853,1.493744,2.054186
0.113523,1.483884,2.026738
0.115192,1.473913,1.999247
0.116861,1.463834,1.971728
0.118531,1.453651,1.944198
0.120200,1.443367,1.916673
0.121870,1.432984,1.889169
0.123539,1.422507,1.861700
0.125209,1.411937,1.834282
0.126878,1.401279,1.806929
0.128548,1.390536,1.779656
0.130217,1.379710,1.752477
0.131886,1.368806,1.725406
0.133556,1.357826,1.698456
0.135225,1.346773,1.671639
0.136895,1.335651,1.644969
0.138564,1.324463,1.618457
0.140234,1.313213,1.592115
0.141903,1.301902,1.565956
0.143573,1.290535,1.539988
0.145242,1.279116,1.514224
0.146912,1.267646,1.488674
0.148581,1.256129,1.463346
0.150250,1.244569,1.438252
0.151920,1.232968,1.413398
0.153589,1.221329,1.388795
0.155259,1.209657,1.364450
0.156928,1.197953,1.340371
0.158598,1.186222,1.316565
0.160267,1.174465,1.293039
0.161937,1.162687,1.269800
0.163606,1.150889,1.246854
0.165275,1.139076,1.224207
0.166945,1.127250,1.201863
0.168614,1.115414,1.179828
0.170284,1.103570,1.158106
0.171953,1.091723,1.136702
0.173623,1.079874,1.115619
0.175292,1.068027,1.094861
0.176962,1.056184,1.074431
0.178631,1.044348,1.054331
0.180301,1.032522,1.034564
0.181970,1.020708,1.015132
0.183639,1.008910,0.996037
0.185309,0.997129,0.977280
0.186978,0.985369,0.958862
0.188648,0.973631,0.940783
0.190317,0.961919,0.923045
0.191987,0.950235,0.905647
0.193656,0.938582,0.888590
0.195326,0.926961,0.871872
0.196995,0.915375,0.855493
0.198664,0.903826,0.839452
0.200334,0.892317,0.823749
0.202003,0.880850,0.808380
0.203673,0.869427,0.793346
0.205342,0.858050,0.778643
0.207012,0.846722,0.764270
0.208681,0.835444,0.750225
0.210351,0.824218,0.736504
0.212020,0.813046,0.723106
0.213689,0.801931,0.710026
0.215359,0.790873,0.697263
0.217028,0.779876,0.684813
0.218698,0.768940,0.672672
0.220367,0.758067,0.660838
0.222037,0.747260,0.649305
0.223706,0.736519,0.638071
0.225376,0.725846,0.627132
0.227045,0.715244,0.616484
0.228715,0.704712,0.606121
0.230384,0.694253,0.596041
0.232053,0.683868,0.586239
0.233723,0.673559,0.576710
0.235392,0.663326,0.567450
0.237062,0.653172,0.558454
0.238731,0.643096,0.549719
0.240401,0.633101,0.541238
0.242070,0.623187,0.533008
0.243740,0.613356,0.525023
0.245409,0.603608,0.517280
0.247078,0.593945,0.509772
0.248748,0.584368,0.502496
0.250417,0.574876,0.495446
0.252087,0.565472,0.488617
0.253756,0.556156,0.482005
0.255426,0.546928,0.475606
0.257095,0.537790,0.469413
0.258765,0.528742,0.463422
0.260434,0.519784,0.457628
0.262104,0.510918,0.452027
0.263773,0.502144,0.446614
0.265442,0.493462,0.441384
0.267112,0.484873,0.436331
0.268781,0.476376,0.431453
0.270451,0.467974,0.426743
0.272120,0.459665,0.422198
0.273790,0.451450,0.417812
0.275459,0.443330,0.413582
0.277129,0.435304,0.409502
0.278798,0.427373,0.405569
0.280467,0.419537,0.401778
0.282137,0.411796,0.398124
0.283806,0.404150,0.394604
0.285476,0.396599,0.391213
0.287145,0.389144,0.387948
0.288815,0.381783,0.384804
0.290484,0.374517,0.381777
0.292154,0.367347,0.378863
0.293823,0.360271,0.376059
0.295492,0.353290,0.373360
0.297162,0.346403,0.370764
0.298831,0.339611,0.368266
0.300501,0.332912,0.365863
0.302170,0.326307,0.363551
0.303840,0.319796,0.361327
0.305509,0.313378,0.359189
0.307179,0.307052,0.357131
0.308848,0.300819,0.355152
0.310518,0.294677,0.353249
0.312187,0.288628,0.351418
0.313856,0.282669,0.349656
0.315526,0.276800,0.347960
0.317195,0.271022,0.346328
0.318865,0.265334,0.344758
0.320534,0.259734,0.343245
0.322204,0.254223,0.341789
0.323873,0.248800,0.340385
0.325543,0.243464,0.339033
0.327212,0.238214,0.337729
0.328881,0.233051,0.336472
0.330551,0.227973,0.335259
0.332220,0.222980,0.334088
0.333890,0.218071,0.332956
0.335559,0.213245,0.331863
0.337229,0.208502,0.330806
0.338898,0.203840,0.329782
0.340568,0.199260,0.328792
0.342237,0.194761,0.327831
0.343907,0.190341,0.326900
0.345576,0.186000,0.325996
0.347245,0.181738,0.325118
0.348915,0.177552,0.324264
0.350584,0.173444,0.323433
0.352254,0.169411,0.322624
0.353923,0.165453,0.321834
0.355593,0.161569,0.321063
0.357262,0.157759,0.320310
0.358932,0.154021,0.319574
0.360601,0.150355,0.318852
0.362270,0.146760,0.318145
0.363940,0.143235,0.317451
0.365609,0.139779,0.316770
