sample_id,dataset,pc1,pc2,tsne1,tsne2
0,CRC,3.675506,-0.447306,-3.745394,-11.727654
1,CRC,3.865368,-2.740110,23.090307,1.353217
2,CRC,6.352006,-3.584367,-5.674257,-14.292585
3,CRC,4.577978,-5.634847,-9.175920,-26.884436
4,CRC,5.659429,-7.793484,-11.459949,-19.233677
5,CRC,8.360430,-1.377722,-5.701567,-26.788118
6,CRC,5.564948,-0.037361,3.996538,-14.035006
7,CRC,6.025615,2.526412,8.071815,-25.864691
8,CRC,1.098430,-2.757947,-9.752805,-16.115301
9,CRC,2.706742,-4.638606,-18.213087,-19.131466
10,CRC,4.551227,-5.314236,-9.805110,-21.074289
11,CRC,1.447576,1.845778,10.364755,5.666800
12,CRC,4.893435,1.304598,15.583262,-0.532624
13,CRC,0.460326,-3.938750,-11.725199,-16.695839
14,CRC,4.994158,-1.788570,23.423645,-0.139752
15,CRC,8.623638,-4.117954,-6.702018,-17.270576
16,CRC,13.283528,1.550181,5.902730,-22.941412
17,CRC,10.380248,-3.338055,-1.948071,-19.840488
18,CRC,15.501716,0.805532,20.696867,-24.222776
19,CRC,0.628446,-6.008894,-0.821153,18.753168
20,CRC,6.261491,1.760723,14.859711,-8.907491
21,CRC,3.624944,-7.109741,-1.057889,23.034929
22,CRC,6.770660,-0.733421,3.483963,-23.481009
23,CRC,12.060544,-8.633799,-8.409363,-22.854092
24,CRC,4.162201,-5.759383,-18.010756,-15.197058
25,CRC,0.954705,-6.197933,-14.004853,-8.432345
26,CRC,7.754341,-2.668080,16.605820,7.364938
27,CRC,5.268558,-6.325745,-13.193256,-23.784042
28,CRC,5.499018,-4.040647,-17.054979,-14.809743
29,CRC,11.419952,3.707414,17.573225,-25.328856
30,CRC,8.542438,4.340740,16.630161,-26.669285
31,CRC,-2.787026,0.134845,8.874100,10.464051
32,CRC,1.060548,-5.562835,21.315025,3.424522
33,CRC,9.308069,-0.911195,18.175325,7.103537
34,CRC,12.169571,-6.168215,-7.386613,-20.575579
35,CRC,0.839600,-4.933721,-13.123304,-17.498392
36,CRC,0.747897,-7.053848,-17.408361,-17.090773
37,CRC,4.771462,-6.366159,-17.080240,-20.952822
38,CRC,4.784115,-2.482156,-10.457248,-28.767593
39,CRC,10.114005,-5.397287,2.015237,21.206551
40,CRC,4.029646,-7.579039,-10.466631,-21.964365
41,CRC,9.154493,-11.049373,-10.272803,-24.501965
42,CRC,11.517299,-1.479436,-1.289289,-22.655756
43,CRC,3.023156,-1.370804,-6.252019,-31.142433
44,CRC,4.949075,0.872386,-1.196537,-14.933856
45,CRC,4.272445,-7.135609,-11.879608,-28.282507
46,CRC,8.503223,-7.418191,2.859291,24.266632
47,CRC,13.926708,7.778123,16.980585,-21.369339
48,CRC,0.065418,3.170364,12.254790,1.165015
49,CRC,5.888715,-4.353421,-5.512913,-21.028505
50,CRC,5.265166,-3.991431,-5.119139,-24.376608
51,CRC,13.161372,4.463769,14.940076,-22.639944
52,CRC,8.642637,0.432601,19.570917,-10.681978
53,CRC,7.678568,-2.488156,-4.876232,-18.736101
54,CRC,0.414048,-5.337290,22.115591,1.689639
55,CRC,9.355999,-2.735249,1.875317,-24.794235
56,CRC,6.582195,-3.618228,24.005981,4.527470
57,CRC,2.367829,-1.572639,-4.692864,-16.102116
58,CRC,2.953032,1.135989,6.398763,1.753652
59,CRC,6.177024,-0.844052,-8.632578,-15.417944
60,CRC,0.296938,-6.766471,-14.529913,-16.590849
61,CRC,3.053330,-7.189164,-15.600761,-19.503805
62,CRC,10.158389,-5.260806,-3.613651,-20.999727
63,CRC,9.494286,4.190052,12.958515,-15.852622
64,CRC,11.365650,-1.579069,20.530085,-12.653263
65,CRC,8.076336,0.791257,3.843133,-23.461645
66,CRC,1.060730,-6.574553,-17.019175,-19.163330
67,CRC,8.418088,1.523439,5.003272,-18.666603
68,CRC,1.359922,-6.435070,-9.686505,-28.081543
69,CRC,6.752631,-5.032332,-7.774682,-25.414333
70,CRC,3.939488,1.995735,5.884296,-15.111905
71,CRC,8.486721,-11.326262,-12.872273,-21.057207
72,CRC,4.780197,-6.259897,-10.936809,-14.673572
73,CRC,3.653197,-2.696834,-9.507596,-17.879395
74,CRC,8.670484,-7.880617,27.804495,-11.728582
75,CRC,8.432023,-7.468488,-8.102116,-19.421850
76,CRC,8.713441,-5.447032,-19.715137,-9.559435
77,CRC,3.482976,-7.460670,11.723198,15.841156
78,CRC,2.092696,-4.251474,-12.758618,-11.624205
79,CRC,4.791933,1.236052,14.862889,-2.042155
80,CRC,3.860665,-5.732585,11.310039,14.864714
81,CRC,1.699419,-4.826178,-10.036133,-17.969597
82,CRC,6.924389,1.014424,-18.275024,-22.542328
83,CRC,2.560390,-4.951785,-14.611933,-15.780376
84,CRC,7.815897,-4.493904,26.667957,-11.633800
85,CRC,4.838375,-4.408362,16.455383,0.642417
86,CRC,3.663909,1.357093,3.312665,-16.879520
87,CRC,4.120853,-8.491439,-12.949327,-18.648300
88,CRC,8.797925,2.272591,17.717329,-24.071381
89,CRC,3.082340,-10.029907,-12.393526,-22.749409
90,CRC,6.662956,-7.146824,-12.892993,-12.443172
91,CRC,1.361925,-4.664788,14.987216,7.985100
