sample_id,tsne1,tsne2,cluster
0,-16.558830,-7.554194,0
1,-8.491296,-3.227752,0
2,-9.302692,-17.987612,0
3,-12.439301,-2.744024,0
4,-13.831616,-4.622504,0
5,8.629542,-14.046100,0
6,8.960070,10.663138,0
7,-3.802962,16.181948,0
8,-6.266645,-1.741466,0
9,5.815953,9.058601,0
10,-8.800093,0.637019,1
11,15.643266,5.367547,0
12,-13.562145,-0.892146,0
13,0.369497,6.157220,0
14,3.925410,-2.971417,0
15,-3.722502,19.825167,0
16,-16.671696,-1.499739,0
17,9.310601,20.271301,0
18,-13.390314,7.174429,1
19,4.008319,6.435563,0
20,-7.001019,-5.537676,0
21,13.340406,0.737935,1
22,-10.369814,-1.449080,0
23,-12.056992,-7.675493,1
24,-19.141489,-1.389071,0
25,-14.094907,-15.561698,0
26,-12.770918,-5.990253,0
27,2.198254,10.598836,1
28,-11.840465,0.619027,0
29,-20.993959,1.894703,0
30,-4.096226,7.474935,0
31,14.820813,-1.288030,0
32,-6.990239,-1.497167,0
33,-0.995088,-10.939087,0
34,-13.391834,-9.598333,1
35,-9.251557,-6.943828,0
36,5.425075,-3.672904,0
37,7.299482,13.589203,0
38,14.518753,12.556643,0
39,1.557420,4.945710,0
40,-10.758407,-8.006694,0
41,-16.890282,-12.664186,1
42,-17.318560,-8.400393,0
43,13.294654,-23.979832,0
44,-9.256929,-16.786060,0
45,13.977663,11.975203,0
46,-11.937494,3.608080,0
47,-17.718559,4.625652,0
48,-5.336213,-4.452944,0
49,-18.496218,-7.708643,0
50,11.288812,9.276568,0
51,-4.589883,-15.578351,1
52,-13.804175,-8.501469,0
53,17.287781,9.282238,0
54,-8.073901,-3.568613,0
55,-11.164450,16.500406,0
56,2.722653,-2.163167,0
57,-15.796663,-6.986668,0
58,-13.852841,-7.592625,0
59,-14.419107,4.993107,0
60,-9.948204,-6.114852,0
61,-17.271595,-11.791842,0
62,-11.926607,-12.589844,0
63,-9.628356,-12.617041,0
64,-11.685641,-10.585430,1
65,-14.415587,-2.613807,0
66,-0.424696,-8.299521,0
67,-6.123640,-7.632082,0
68,21.596121,10.328342,0
69,-16.280304,-5.814708,0
70,-7.362793,-10.391774,0
71,13.276485,-8.360759,1
72,9.945796,-11.548433,0
73,-13.084810,-3.233528,0
74,-0.581202,-2.681707,1
75,-14.930286,-8.956220,1
76,-18.068048,-11.534797,0
77,-10.792141,-1.193104,0
78,-9.694447,-3.418146,0
79,-3.807681,19.380356,0
80,-8.379942,-7.516435,0
81,-14.192447,-3.498519,0
82,-9.735774,-16.560156,0
83,-9.604870,10.274239,0
84,-9.018722,-5.333827,0
85,-19.797543,-2.416756,0
86,-4.086571,-7.695973,0
87,-12.138890,17.993256,0
88,12.336080,-2.291577,0
89,-16.553503,0.732467,0
90,-10.799988,-6.198374,0
91,7.060693,-6.273610,0
92,-11.625701,-4.338745,0
93,18.672592,4.004365,0
94,-18.200756,-4.071434,0
95,2.008100,17.465405,0
96,16.965897,9.083358,0
97,-9.982783,-9.064475,0
98,-10.999089,-15.766622,0
99,19.764740,5.923918,0
100,-1.048687,-5.327147,0
101,1.822814,-1.318342,0
102,-15.998056,-2.369688,0
103,15.461889,2.444960,0
104,9.159803,19.987326,0
105,13.886620,7.693379,0
106,-4.556917,-14.832440,0
107,-19.109516,-4.815525,1
108,2.635406,8.160691,0
109,-7.904082,3.585078,0
110,18.684591,14.035036,0
111,10.587945,12.005511,0
112,-13.399549,-12.112947,1
113,9.386414,-15.254658,0
114,9.692212,-15.720280,0
115,-12.322646,-11.794719,0
116,-12.029164,5.328920,0
117,-10.596070,1.404898,0
118,13.847235,-13.075390,0
119,-15.143720,-4.069405,0
120,0.308025,2.487989,0
121,-1.777123,-3.841150,0
122,-23.293636,17.509651,0
123,5.592954,3.543632,0
124,5.996369,7.030509,0
125,0.517112,20.758865,0
126,-17.848085,21.824459,0
127,12.793249,16.786474,0
128,-14.922138,-25.470901,0
129,8.272442,-20.028885,0
130,-4.763890,-1.163962,0
131,-21.278511,7.217520,0
132,4.771968,24.192198,0
133,27.876556,1.153604,0
134,-28.660276,3.688434,0
135,22.351793,-2.630466,0
136,23.524559,1.904956,0
137,24.731081,13.964622,0
138,19.407349,-20.938208,0
139,25.825750,7.059428,0
140,7.710448,-27.031952,0
141,3.290806,-26.257853,0
142,-25.865204,-2.595752,0
143,-23.790882,-12.652296,0
144,-2.460354,-21.523558,0
145,0.537793,27.596369,0
146,-6.276519,1.504551,0
147,-8.663111,26.118946,0
148,-12.757361,24.203131,0
149,-25.985323,10.660436,0
150,-0.330283,-6.570861,0
151,18.254042,14.939114,0
152,15.013472,21.118868,0
153,7.991676,7.559058,0
154,3.393137,-9.419708,0
155,5.243264,5.523407,0
156,-22.445885,-18.080452,0
157,10.488681,0.162175,0
158,19.692144,4.750741,0
159,-14.300767,13.488444,0
160,23.464588,-15.238192,0
161,-19.211931,11.569487,0
162,-2.451670,-27.311390,0
163,-6.391064,-23.403193,0
164,20.153856,20.247293,0
165,4.505507,18.162100,0
166,-11.239714,-21.896576,0
167,-27.383858,-7.824419,0
168,18.765337,-0.843342,0
169,6.259481,-10.953491,0
170,-10.141538,13.588132,0
171,-12.579262,11.232048,0
172,-4.355967,-19.411154,0
173,6.253817,-12.011847,0
174,-3.013972,24.256739,0
175,19.208611,-6.416657,0
176,4.402115,-6.288144,0
177,13.496087,-17.815800,0
178,17.521790,-16.081335,0
179,-17.354874,16.457825,0
180,12.915875,-23.137768,0
181,-20.093147,12.191721,0
182,3.608716,13.126349,0
183,2.899879,1.850142,0
184,-0.319343,7.465483,0
185,5.419011,-14.999369,0
186,3.409395,-20.217869,0
187,17.222795,-4.211896,0
188,18.338821,-11.369895,0
189,26.528946,-4.783935,0
190,-0.668176,-4.500208,0
191,-22.837255,2.366049,0
192,-5.767099,6.122202,0
193,4.273956,19.456316,0
194,-17.024763,-19.267036,0
195,5.976477,-5.254386,0
196,6.621740,3.606899,0
197,6.334716,-2.115107,0
198,-7.167965,17.317959,0
199,-2.923275,8.690093,0
200,13.501530,11.464108,0
201,-5.049035,6.079218,0
202,-12.449207,18.559414,0
203,-16.771635,5.736886,0
204,-6.273383,9.245895,0
205,6.937784,2.129486,0
206,10.277573,-9.092119,0
207,15.033853,-8.383327,0
208,2.363690,-13.526081,0
209,-4.372059,1.523227,0
210,-3.784470,0.482067,0
211,8.493042,-2.052743,0
212,-1.386048,-21.894144,0
213,5.905478,1.903086,0
214,2.126292,-17.857016,0
215,-16.830507,9.604422,0
216,7.695414,-10.117036,0
217,-25.712084,11.820650,0
218,-12.759712,9.327148,0
219,-4.518064,2.874645,0
220,-7.834330,-10.564013,0
221,-17.026476,-19.266197,0
222,-7.588957,14.219566,0
223,20.024691,-6.814054,0
224,3.547275,-10.485174,0
225,7.086985,16.682766,0
226,14.183582,-8.351204,0
227,-7.008082,5.182171,0
228,2.900876,10.400064,0
229,4.788928,11.027746,0
230,-23.832960,2.690269,0
231,-23.293568,17.508772,0
232,5.592992,3.543626,0
233,0.517081,20.758886,0
234,-17.848156,21.824348,0
235,12.792805,16.786217,0
236,-14.922139,-25.472908,0
237,8.272274,-20.028517,0
238,-21.278475,7.217567,0
239,4.771967,24.192200,0
240,27.876562,1.153650,0
241,-28.660257,3.682980,0
242,22.351803,-2.630474,0
243,23.523867,1.904941,0
244,24.731071,13.964274,0
245,19.407307,-20.938454,0
246,25.825788,7.059447,0
247,7.710860,-27.031954,0
248,3.293198,-26.257423,0
249,-25.863966,-2.595741,0
250,-23.791515,-12.652546,0
251,-2.460582,-21.523914,0
252,0.537794,27.596380,0
253,-6.277235,1.504207,0
254,-8.663163,26.119396,0
255,-12.758157,24.203815,0
256,-25.985231,10.660929,0
257,18.254408,14.938430,0
258,15.013040,21.118868,0
259,7.991610,7.559098,0
260,3.392378,-9.419970,0
261,-22.445948,-18.080637,0
262,10.488188,0.161760,0
263,19.692104,4.750741,0
264,-14.300878,13.488504,0
265,23.464525,-15.238190,0
266,-2.451668,-27.311392,0
267,-6.391034,-23.403191,0
268,20.153673,20.247293,0
269,4.505498,18.162107,0
270,-11.239760,-21.897551,0
271,-27.383896,-7.824437,0
272,18.765228,-0.843291,0
273,6.259612,-10.954191,0
274,-12.579451,11.232455,0
275,-4.355783,-19.410971,0
276,-3.013892,24.256870,0
277,19.208548,-6.416651,0
278,13.490894,-17.819876,0
279,17.521780,-16.081415,0
280,-17.354883,16.457823,0
281,12.916255,-23.137821,0
282,-20.093493,12.191910,0
283,3.608774,13.126435,0
284,2.899963,1.850242,0
285,-0.318908,7.465102,0
286,5.418876,-14.998337,0
287,3.409463,-20.217913,0
288,17.222816,-4.212270,0
289,18.338799,-11.369894,0
290,26.528967,-4.784016,0
291,-0.668142,-4.500247,0
292,-22.837362,2.366143,0
293,-5.924044,-11.454210,0
294,-17.687859,3.740046,0
295,-2.347769,10.401731,0
296,10.967552,-1.005867,0
297,-3.609596,-5.950637,0
298,8.785244,2.191512,0
299,-3.450917,-8.498347,0
300,1.131920,-4.719393,0
301,17.337727,-0.042292,0
302,-6.945135,7.501651,0
303,1.223521,-2.322987,0
304,-1.906083,0.973822,0
305,3.467793,-21.047649,0
306,-5.299534,-5.381835,0
307,-0.091928,-16.834496,0
308,4.736659,2.145107,0
309,8.497428,-0.984061,0
310,0.635009,3.995129,0
311,-0.728664,-0.794385,0
312,11.366015,2.423765,0
313,3.839082,-4.571443,0
314,0.302804,-1.286744,0
315,-15.401752,1.430308,0
316,-6.218995,-2.726113,0
317,12.224891,-6.142494,0
318,-2.270081,0.231912,0
319,4.112027,14.659444,0
320,15.522181,2.448786,0
321,2.862923,-1.358635,0
322,8.553703,0.509152,0
323,9.996815,14.565314,0
324,2.557672,-3.471905,0
325,4.664207,-1.964135,0
326,5.241197,-0.950815,0
327,0.842797,7.753966,0
328,9.312800,7.861394,0
329,-4.947406,-11.351603,0
330,8.935117,-7.415860,0
331,5.260784,0.748691,0
332,-4.205933,4.690545,0
